Sigma,Ancilla Count,Energies,Mean Probability,Variance
5.0,2,-2.0178,0.387705078125,0.014891838932037356
5.0,2,-1.9504413793103446,0.40525390625,0.017494601821899415
5.0,2,-1.8830827586206895,0.435791015625,0.018866703510284424
5.0,2,-1.8157241379310343,0.452138671875,0.020827002429962164
5.0,2,-1.7483655172413792,0.39716796875,0.01698838233947754
5.0,2,-1.681006896551724,0.368544921875,0.025804713153839108
5.0,2,-1.6136482758620687,0.32443359375,0.02826524887084961
5.0,2,-1.5462896551724137,0.3559765625,0.035874852752685545
5.0,2,-1.4789310344827586,0.369384765625,0.04464759111404419
5.0,2,-1.4115724137931034,0.380029296875,0.03473649263381959
5.0,2,-1.3442137931034481,0.393203125,0.024469623947143564
5.0,2,-1.276855172413793,0.45126953125,0.025794992446899413
5.0,2,-1.2094965517241378,0.429716796875,0.011092323398590087
5.0,2,-1.1421379310344828,0.5167578125,0.0347559684753418
5.0,2,-1.0747793103448275,0.498583984375,0.03955104112625122
5.0,2,-1.0074206896551725,0.46671875,0.021518577194213875
5.0,2,-0.9400620689655173,0.441748046875,0.014858133792877199
5.0,2,-0.872703448275862,0.45662109375,0.01350230560302735
5.0,2,-0.805344827586207,0.41876953125,0.0188250804901123
5.0,2,-0.7379862068965517,0.353544921875,0.025330156421661386
5.0,2,-0.6706275862068967,0.351962890625,0.04557974519729615
5.0,2,-0.6032689655172414,0.3392578125,0.037180995941162115
5.0,2,-0.5359103448275864,0.335712890625,0.03026396951675415
5.0,2,-0.4685517241379311,0.362724609375,0.048028793430328356
5.0,2,-0.40119310344827586,0.39279296875,0.03834248695373534
5.0,2,-0.3338344827586208,0.38841796875,0.015590622329711916
5.0,2,-0.26647586206896556,0.4399609375,0.025030259704589834
5.0,2,-0.19911724137931053,0.420400390625,0.013526577854156497
5.0,2,-0.13175862068965527,0.429560546875,0.019980190372467038
5.0,2,-0.0644,0.36279296875,0.019755420684814454
10.0,2,-2.0178,0.2953125,0.02599481582641601
10.0,2,-1.9504413793103446,0.336884765625,0.014712452030181889
10.0,2,-1.8830827586206895,0.410263671875,0.011992962741851803
10.0,2,-1.8157241379310343,0.428310546875,0.019201733493804937
10.0,2,-1.7483655172413792,0.347666015625,0.0212870644569397
10.0,2,-1.681006896551724,0.288154296875,0.018841152286529547
10.0,2,-1.6136482758620687,0.2280859375,0.016530796432495113
10.0,2,-1.5462896551724137,0.26314453125,0.026372726821899412
10.0,2,-1.4789310344827586,0.273759765625,0.03207221612930298
10.0,2,-1.4115724137931034,0.30541015625,0.031573107147216804
10.0,2,-1.3442137931034481,0.368955078125,0.03080712213516236
10.0,2,-1.276855172413793,0.422568359375,0.019938612842559815
10.0,2,-1.2094965517241378,0.4019140625,0.011044393920898437
10.0,2,-1.1421379310344828,0.402216796875,0.03728049097061157
10.0,2,-1.0747793103448275,0.3393359375,0.05281800231933593
10.0,2,-1.0074206896551725,0.314248046875,0.0221818169593811
10.0,2,-0.9400620689655173,0.39919921875,0.01033380661010742
10.0,2,-0.872703448275862,0.4156640625,0.01251570739746094
10.0,2,-0.805344827586207,0.38755859375,0.016519728088378906
10.0,2,-0.7379862068965517,0.260009765625,0.027881386280059813
10.0,2,-0.6706275862068967,0.26490234375,0.030488188171386706
10.0,2,-0.6032689655172414,0.2705859375,0.020658525085449218
10.0,2,-0.5359103448275864,0.270966796875,0.019836067295074464
10.0,2,-0.4685517241379311,0.2886328125,0.03256783142089843
10.0,2,-0.40119310344827586,0.263291015625,0.037680943393707284
10.0,2,-0.3338344827586208,0.336826171875,0.024910294437408446
10.0,2,-0.26647586206896556,0.40755859375,0.015017456436157229
10.0,2,-0.19911724137931053,0.418681640625,0.012004549121856691
10.0,2,-0.13175862068965527,0.36701171875,0.0129314208984375
10.0,2,-0.0644,0.291513671875,0.01498375406265259
5.0,4,-2.0178,0.18318359375,0.005513776397705078
5.0,4,-1.9504413793103446,0.232275390625,0.003148949146270752
5.0,4,-1.8830827586206895,0.2940234375,0.002155078506469726
5.0,4,-1.8157241379310343,0.295361328125,0.0054159188270568835
5.0,4,-1.7483655172413792,0.246123046875,0.005205463504791258
5.0,4,-1.681006896551724,0.186708984375,0.01282738580703735
5.0,4,-1.6136482758620687,0.152666015625,0.013561779117584227
5.0,4,-1.5462896551724137,0.129892578125,0.015197968387603759
5.0,4,-1.4789310344827586,0.13818359375,0.01026775360107422
5.0,4,-1.4115724137931034,0.20205078125,0.01475462913513184
5.0,4,-1.3442137931034481,0.244697265625,0.006074256992340087
5.0,4,-1.276855172413793,0.300458984375,0.009630628681182859
5.0,4,-1.2094965517241378,0.308837890625,0.0056193661689758305
5.0,4,-1.1421379310344828,0.3064453125,0.011647396087646483
5.0,4,-1.0747793103448275,0.285498046875,0.02010082483291626
5.0,4,-1.0074206896551725,0.2767578125,0.017355556488037112
5.0,4,-0.9400620689655173,0.292763671875,0.0041821583747863765
5.0,4,-0.872703448275862,0.31115234375,0.006011081314086913
5.0,4,-0.805344827586207,0.269560546875,0.003902038669586181
5.0,4,-0.7379862068965517,0.205234375,0.014304289245605471
5.0,4,-0.6706275862068967,0.14728515625,0.01660637626647949
5.0,4,-0.6032689655172414,0.109853515625,0.013612284564971922
5.0,4,-0.5359103448275864,0.10068359375,0.010676469802856445
5.0,4,-0.4685517241379311,0.167890625,0.02601645812988282
5.0,4,-0.40119310344827586,0.18306640625,0.00528871383666992
5.0,4,-0.3338344827586208,0.265048828125,0.006855418109893798
5.0,4,-0.26647586206896556,0.28541015625,0.0028110336303710935
5.0,4,-0.19911724137931053,0.286611328125,0.0017516278266906736
5.0,4,-0.13175862068965527,0.27,0.012211799240112304
5.0,4,-0.0644,0.188583984375,0.006979163074493409
10.0,4,-2.0178,0.102998046875,0.007683719730377197
10.0,4,-1.9504413793103446,0.159150390625,0.004391206836700441
10.0,4,-1.8830827586206895,0.290517578125,0.0041957043647766114
10.0,4,-1.8157241379310343,0.271796875,0.002846286392211914
